sector,yes2wk_old,yes2wk_new
Information,29.55,36.55
"Professional, Scientific, and Technical Services",23.5,33.35
Finance and Insurance,17.15,29.65
Educational Services,16.75,27.75
Multi-unit companies operating in multiple sectors,7.9,23
Real Estate and Rental and Leasing,14.75,22.65
Health Care and Social Assistance,11.15,19.75
"Arts, Entertainment, and Recreation",7.85,17.85
Wholesale Trade,5.65,13
Retail Trade,6.55,12.8
Manufacturing,4.699999999999999,11.6
Other Services (except Public Administration),3.7,9.949999999999999
Construction,3.75,8.350000000000001
Accommodation and Food Services,2.45,8.35
Transportation and Warehousing,3.1,7.15
