wdate,yes2wk_old,yes6mo_old_lagged
2023w38,3.7,
2023w40,3.7,
2023w42,3.8,
2023w44,3.9,
2023w46,4.4,
2023w48,4.6,
2023w50,4.9,
2023w52,4.9,
2024w2,4.6,
2024w4,5.3,
2024w6,5,
2024w8,5.4,
2024w10,4.3,6.3
2024w12,4.4,6.3
2024w14,4.2,6.5
2024w16,4.8,6.5
2024w18,4.7,6.9
2024w20,4.8,7.3
2024w22,4.6,6.5
2024w24,5,6.7
2024w26,4.7,6.4
2024w28,5,6.5
2024w30,5.1,6.6
2024w32,5.1,6.6
2024w34,5.5,6.4
2024w36,5.7,6.7
2024w38,5.9,6.6
2024w40,6,6.8
2024w42,6,7
2024w44,6,6.9
2024w46,6.1,6.6
2024w48,6.1,6.8
2024w50,6.1,6.9
2024w52,6.3,6.9
2025w2,6,7.2
2025w4,6.7,7
2025w6,6.8,8.1
2025w8,7.3,8.5
2025w10,7.4,8.699999999999999
2025w12,7.8,9.1
2025w14,8,9
2025w16,8.300000000000001,9.300000000000001
2025w18,8.699999999999999,8.699999999999999
2025w20,8.699999999999999,8.9
2025w22,9.199999999999999,8.800000000000001
2025w24,9.199999999999999,9.199999999999999
2025w26,9.300000000000001,9.5
2025w28,9.300000000000001,9.4
2025w30,9.4,9.300000000000001
2025w32,8.800000000000001,9.800000000000001
2025w34,9.699999999999999,9.9
2025w36,9.1,10.5
2025w38,9.9,10.5
2025w40,10,10.9
2025w42,,11
2025w44,,11
2025w46,,11.6
