sector,yes2wk_new,yes6mo_new
Information,36.55,40.25
"Professional, Scientific, and Technical Services",33.35,36.4
Educational Services,27.75,32.7
Finance and Insurance,29.65,32.55
Multi-unit companies operating in multiple sectors,23,31.9
Real Estate and Rental and Leasing,22.65,25.85
Health Care and Social Assistance,19.75,23.9
"Arts, Entertainment, and Recreation",17.85,23.15
Wholesale Trade,13,18.8
Manufacturing,11.6,17
Retail Trade,12.8,16.25
Construction,8.350000000000001,12.8
Accommodation and Food Services,8.35,12.1
Other Services (except Public Administration),9.949999999999999,11.55
Transportation and Warehousing,7.15,9.85
